,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,20,5,0,0,25,33,0.5,0.5,0.5
0,20,5,1,0,25,33,0.5,0.5,0.5
0,20,5,2,0,25,33,0.625,0.624925,0.624833
0,20,5,3,0,25,33,0.5,0.500128,0.5
0,20,6,0,0,25,33,0.5,0.5,0.5
0,20,6,1,0,25,33,0.5,0.5,0.5
0,20,6,2,0,25,33,0.5,0.5,0.5
0,20,6,3,0,25,33,0.5,0.5,0.5
0,30,0,0,0,25,33,1.0,1.0,1.0
0,30,0,1,0,25,33,1.0,1.0,1.0
0,30,0,2,0,25,33,1.0,1.0,1.0
0,30,0,3,0,25,33,1.0,1.0,1.0
0,30,1,0,0,25,33,1.0,1.0,1.0
0,30,1,1,0,25,33,1.0,1.0,1.0
0,30,1,2,0,25,33,1.0,1.0,1.0
0,30,1,3,0,25,33,1.0,1.0,1.0
0,30,2,0,0,25,33,1.0,1.0,1.0
0,30,2,1,0,25,33,1.0,1.0,1.0
0,30,2,2,0,25,33,1.0,1.0,1.0
0,30,2,3,0,25,33,1.0,1.0,1.0
0,30,3,0,0,25,33,1.0,1.0,1.0
0,30,3,1,0,25,33,1.0,1.0,1.0
0,30,3,2,0,25,33,1.0,1.0,1.0
0,30,3,3,0,25,33,1.0,1.0,1.0
0,30,4,0,0,25,33,1.0,1.0,1.0
0,30,4,1,0,25,33,1.0,1.0,1.0
0,30,4,2,0,25,33,1.0,1.0,1.0
0,30,4,3,0,25,33,1.0,1.0,1.0
0,30,5,0,0,25,33,0.5,0.5,0.5
0,30,5,1,0,25,33,0.5,0.5,0.5
0,30,5,2,0,25,33,0.624825,0.622652,0.620336
0,30,5,3,0,25,33,0.5,0.5,0.5
0,30,6,0,0,25,33,0.5,0.5,0.5
0,30,6,1,0,25,33,0.5,0.5,0.5
0,30,6,2,0,25,33,0.5,0.5,0.5
0,30,6,3,0,25,33,0.5,0.5,0.5
0,40,0,0,0,25,33,1.0,1.0,1.0
0,40,0,1,0,25,33,1.0,1.0,1.0
0,40,0,2,0,25,33,1.0,1.0,1.0
0,40,0,3,0,25,33,1.0,1.0,1.0
0,40,1,0,0,25,33,1.0,1.0,1.0
0,40,1,1,0,25,33,1.0,1.0,1.0
0,40,1,2,0,25,33,1.0,1.0,1.0
0,40,1,3,0,25,33,1.0,1.0,1.0
